time	rate	s1	s2	lambda1	lambda2	o11	ood	tf1_re	tf1_im	tf1_abs	tf2_re	tf2_im	tf2_abs
1.1	0.24780529803159915	0.8868529859338874	0.4620212295306798	0.7865082186598519	0.21346361653704113	0.8795321714198626	0.13540322213430359	-0.04029323942990315	-0.779872460810434	0.7809126713495418	0.21333653904573618	-0.07326867493276971	0.2255676785765567
1.15	0.20397996582645284	0.9081320040188913	0.41862928103077723	0.8247037367233675	0.17525047493634546	0.8992535325143978	0.1467762638181232	-0.043803702626954544	-0.815989033047284	0.8171639164924454	0.17513222342129867	-0.07449850535357758	0.19031900320358106
1.2	0.16654915818341942	0.9271432198659537	0.3746079029576902	0.8595945501434082	0.14033108095835822	0.9165880800835617	0.15777564652688977	-0.047306295767194806	-0.8487115207158195	0.8500289001057388	0.14014741118180887	-0.07532363023242614	0.1591067130335935
1.25	0.13524533416529522	0.943841094034307	0.3302158621108047	0.8908360107878777	0.109042515589582	0.9314851149590092	0.16826916817228468	-0.050836257307710575	-0.8777076581224563	0.8791786270058335	0.10875773497529213	-0.07566394574321106	0.13248878293043329
1.3	0.10983392052944309	0.9581863423241853	0.28579329559129407	0.9181210666166009	0.08167780780493279	0.9439031578326624	0.17798306500408315	-0.05443077966920429	-0.9026710420144255	0.9043106323973008	0.08129622882393256	-0.07539050378967665	0.11087292222474544
1.35	0.09010701076309778	0.9701461671868039	0.24181728168185032	0.941183585707246	0.05847559771999934	0.953808734819631	0.18640742880221833	-0.058127907695847414	-0.9233275896828917	0.9251554958614878	0.05804439587783813	-0.07426745284154174	0.0942592512403627
1.4	0.07587789426656363	0.9796944930741089	0.19899986965140629	0.9598012997597353	0.039600948121276694	0.961175616527922	0.19259853834132085	-0.06196682429337452	-0.9394411247304058	0.9414826148940487	0.03921956984722351	-0.07185343331099543	0.0818601889661813
1.45	0.0669762773491714	0.9868121915427391	0.1584440225934105	0.9737983013773837	0.02510450829558118	0.9659842285327281	0.19485217406478444	-0.06598787634423597	-0.9508180650286234	0.9531051319813558	0.024953878757019477	-0.06737962441602918	0.07185199963442343
1.5	0.0632441705900961	0.9914872888648301	0.12180294027535386	0.983047043980531	0.01483595625972142	0.9682210886749296	0.19049961810847274	-0.07022835434565444	-0.9573117338328218	0.9598842521304859	0.015302083278193683	-0.059821105605659654	0.06174721393339346
1.55	0.06453253217717646	0.9937151541234619	0.0911368487838355	0.9874698075346157	0.008305925206247698	0.9678781714890039	0.17709889054114766	-0.07470492261622952	-0.9588228812062798	0.9617287262985382	0.011350965170344465	-0.04871849044992093	0.05002335176712382
